characters_araber;Araber_verkleidet
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_5;Il semble que vous deux soyez en contact avec une entreprise de transport spécialisée dans les coffres-forts.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_7;Je ne dirais rien de plus. C'est une question d'importance internationale.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_10;Dites moi, Professeur... Vous arrive t-il d'avoir une clé dans votre mallette ?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_11;Une...
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_12;Et si oui... Est-elle toujours là ?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_13;Il n'y a aucune raison que cela ne soit pas le cas.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_14;C'est ce que nous espérons.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_15;A y penser, cela aurait été facile pour un voleur de prendre une empreinte de cette dernière, n'est-ce pas professeur ?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_16_direction;is aware of the consequences
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_16;Oh...
texts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_title;Dire au revoir
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_1;Ho ho. Très drôle.
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_2;Je ne veux pas prendre plus de votre précieux temps.
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_5;Mais vous ne comprenez, n'est-ce pas ? Ce qui me préoccupe, c'est le présent et surtout le vol au musée ?
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_6;Bien sûr, bien sûr ! C'est simplement que... Je suis plutôt pressé.
texts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_title;Objets de valeur
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_1;Qu'est-ce que vous cachez dans votre sac ? Qu'est-ce que vous avez qui pourrait être volé ?
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_2;Vous semblez avoir quelque chose dans votre sac qui pourrait être volé.
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_3;Non ! Rien du tout !
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_4;Pas d'objets de valeur ?
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_5;Sûrement pas ! Pas avec mon salaire !
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_6;A peine suffisant pour un compartiment de première classe dans un train de luxe...
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_7_direction;Vous ne dites pas tout
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_7;Ça... Ce sont mes affaires.
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_10;Vous jouez à un jeu dangereux, Professeur Lucien.
texts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_title;Chef du Département égyptien
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_1;Et le cambriolage ? Ce n'était pas un problème pour vous ? Même si vous êtes à la tête du département où il s'est produit?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_2;Vous êtes responsable du département égyptien du British Museum.
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_3;Et vous voulez me dire que le cambriolage n'avait pas d'importance pour vous ?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_4_direction;gives up
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_4;D'accord !.
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_5;Le cambriolage a été bouleversant et choquant... Et je ne savais pas quoi faire, c'est bon ?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_6;Et vous ne pouviez pas juste me le dire ?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_7;Moins les gens en savent à ce sujet, mieux c'est.
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_8_direction;half to himself
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_8;Je ne peux faire confiance à personne.
texts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_title;Le Caire
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_1;Vous n'allez pas simplement à Venise, n'est-ce pas ?
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_2;Est-ce que votre voyage continuerait un peu plus loin ? En Égypte peut-être ?
sequences_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq#2;[The archaeologist nods.]
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_3;Je suis de votre côté !
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_4;Mais plus vous me mentez, plus difficile vous me rendez la tâche.
texts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_title;Rien vu de suspect ?
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_1;Une dernière chose...
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_2;Avez-vous quelque chose d'inhabituel dans le train ?
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_3_direction;nervously
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_3;Là ? Dans ce train ?
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_4;Non. Je pourrais pas le dire.
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_5;J'ai passé le plupart du temps dans mon compartiment.
texts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_title;Sac perdu
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_1;Par chance sauriez-vous quelque chose sur un sac égaré ?
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_2;Vous pensez qu'il y a un voleur dans le train ?
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_3;Pas un, deux. Et l'un d'eux n'en a pas après ce sac.
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_4_direction;intimidated
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_4;Oh.
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_5_direction;confused
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_5;Eh bien, je ne sais rien sur ce sac perdu.
texts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_title;Porte fermée
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_1;Avez-vous une idée de la raison pour laquelle votre porte était verrouillée ?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_2_direction;evasive
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_2;J'en sais rien.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_3;Peut-être... Les vibrations constante ont pu faire tourner le verrou sur lui-même ?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_4;Vous n'y pensez pas.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_5_direction;slightly annoyed
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_5;Quel est votre théorie alors ?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_6;Le contrôleur l'a peut-être fermée de l'extérieur.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_7;Ou alors, il y avait quelqu'un ici qui a fermé votre compartiment de l'intérieur.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_8;Qui ? Et ou serait-il passé ?
sequences_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq#8;[Ohi points to the window.]
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_9;Ils auraient grimpé là-bas.
sequences_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq#10;[The archaeologist looks incredulously at the window.]
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_10;Qui serait aussi fou ?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_11;A vous de me le dire, Professeur.
texts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_title;Destination of his trip
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_2;Puis-je vous demander où vous allez ?
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_3;Bien sûr. A Venise.
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_4;Je... vais voir des collègues là-bas.
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_5;Ah, Venise !
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_6;Une belle ville de ce qu'on m'en a dit.
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_7;En effet. Mais je dois vraiment prendre congé.
texts_archaeologe_top_a01_archaeologe_nichts_tseq_title;Oh, rien
spokentexts_archaeologe_top_a01_archaeologe_nichts_tseq_st_1;Oh, rien.
spokentexts_archaeologe_top_a01_archaeologe_nichts_tseq_st_2_direction;irritated
spokentexts_archaeologe_top_a01_archaeologe_nichts_tseq_st_2;Eh bien... Super !
sequences_archaeologe_top_a01_archaeologe_nichts_tseq#2;[The archaeologist returns to its read-idle.]
sequences_archaeologe_top_a01_archaeologe_nichts_tseq#3;[The conversation is over.]
texts_archaeologe_top_a01_archaeologe_umsehen_tseq_title;Jeter un coup d'oeil
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_1;Je voudrais jeter un coup d'oeil dans le compartiment.
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_2;Oh... euhh. Bien sûr.
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_3;Je voudrais jeter un oeil.
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_4;Bien sûr.
sequences_archaeologe_top_a01_archaeologe_umsehen_tseq#7;[The player takes control.]
spokentexts_archaeologe_ex_1_st_1;Il ne fait pas une très bonne impression.
spokentexts_archaeologe_ex_1_st_2;Et qui pourrait ne pas être gêné par un vol dans son propre musée ?
spokentexts_archaeologe_ex_2_st_1;Il me cache quelque chose et je dois savoir ce que c'est !
spokentexts_archaeologe_talk_mit_03_st_1;Je n'ai pas trouvé le contrôleur mais je devrais être en mesure d'ouvrir la porte avec ces pinces.
spokentexts_archaeologe_talk_mit_03_st_2_direction;impatient, slightly pleading
spokentexts_archaeologe_talk_mit_03_st_2;Alors allez-y... !
spokentexts_archaeologe_talk_mit_1_st_1;Professeur Lucien?
sequences_archaeologe_talk_mit_1#2;[The professor looks at Ohi.]
spokentexts_archaeologe_talk_mit_1_st_2_direction;rushed, expectantly
spokentexts_archaeologe_talk_mit_1_st_2;Oui ?
spokentexts_archaeologe_talk_mit_1_st_3_direction;rushed, expectantly
spokentexts_archaeologe_talk_mit_1_st_3;Avez-vous la clé ?
spokentexts_archaeologe_talk_mit_1_st_4;En fait, je cherchais...
spokentexts_archaeologe_talk_mit_1_st_5;S'il vous plaît - Je dois retourner dans mon compartiment !
sequences_archaeologe_talk_mit_1#8;[The professor looks back to the door and knocks once with the fist on it.]
spokentexts_archaeologe_talk_mit_2_st_1;Je ferais mieux d'ouvrir la porte d'abord et ensuite j'aurais un autre entretien avec le professeur.
spokentexts_archaeologe_talk_mit_2_st_2;Je ne pense pas en tirer grand chose, tant que la porte sera toujours verrouillée.
spokentexts_archaeologe_talk_mit_4_st_1;Professeur Lucien ?
sequences_archaeologe_talk_mit_4#2;[The professor looks up, puts himself in talk position.]
spokentexts_archaeologe_talk_mit_4_st_2;Oui ?
sequences_archaeologe_talk_mit_4#4;[Dialogue between Ohi and archaeologists starts.]
texts_arzt_mo_ex_1;Examiner le Dr. Gebhardt
texts_arzt_mo_talk_mit_1-3;Parler au Dr. Gebhardt
texts_arzt_top_a01_arzt_auf_wiedersehen_tseq_title;Dire au revoir
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_3;Comme vous voulez.
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_4;Auf Wiedersehen, Docteur Gebhardt !
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_5;Au revoir, officier. C'était une agréable conversation, vraiment.
sequences_arzt_top_a01_arzt_auf_wiedersehen_tseq#7;[The doctor picks up the newspaper, begins to read again.]
texts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_title;Quelque chose de suspect ?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_1;Dites-moi, avez-vous remarqué quelque chose de suspect dans le train ou à Zurich ?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_2;Vous voulez dire à part le fait que ma valise a été volée sur le quai ?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_3;Non.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_4;Y a t-il lieu de s'inquiéter ?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_5;Non. C'est juste la routine.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_6_direction;senior teacher like
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_6;Gendarme Zellner.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_7;S'il vous plaît ne pensez pas que je suis un naïf. J'ai repéré l'inspecteur d'Interpol.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_8;Il s'appelle Legard, si je me souviens bien.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_9;Legrand.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_10;Si vous le dites.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_11;A la gare de Zurich, il a mis une cassette dans le coffre, puis a continuer de le surveiller étroitement quant-il a été chargé dans le train.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_12;Ne me dites pas qu'un homme de sa trempe traverserait les Alpes juste pour garder un oeil sur des cassettes d'argent.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_13;Une cassette ? Comme celles qu'on trouve dans des coffres-forts ?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_14;Précisément. Et je crois que nous avons tous les deux une bonne idée de ce qu'il y a dedans.
texts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_title;Sac disparus
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_1;Je voulais vous demander...
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_2;La baronne a perdue son sac à main...
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_3;Une baronne ?
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_4;"Ce train est vraiment rempli de la crème de la crème. La ""Reine du Crime"" est là-bas, et maintenant une baronne !"
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_5;Vous avez vu ce sac ?
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_6;Malheureusement, non.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_7;Vous connaissez Lady Westmacott ? Vous devriez lui parler.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_8;Eh bien, je suis un admirateur de son travail.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_9;Comme tant d'autres. Une fois, j'ai lu dans le journal que seul Shakespeare et la Bible se sont plus vendus que ses romans policiers.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_10;J'ai lu ça aussi.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_11;Elle doit être extrêmement riche. En tant que médecin, je devrais travailler un millier d'années pour gagner autant d'argent !
texts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_title;Gants
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_1;Vous portez des gants ?
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_2;Je me demandais pourquoi vous portiez des gants.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_3;Vos mains sont si sensible ? Ou êtes-vous frileux ?
sequences_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq#5;[The doctor raises one of his hands, looks at it.]
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_4;Oh, et bien. C'est une vieille habitude.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_5;En tant que médecin, on est plus conscient de tous les pathogènes, les bactéries et les virus qui nous entourent.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_6;Bien évidemment, j'ai peut-être tendance à être un peu trop prudent.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_7_direction;slightly sneaky
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_7;Je sais très bien ce que vous voulez dire.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_8;En tant que policier, j'ai tendance à voir le mal partout.
texts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_title;Cassette d'argent
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_1_direction;unsure
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_1;J'ai en effet une théorie... mais... quelle est la vôtre ?
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_2;La cassette dans le coffre... Que pensez-vous qu'elle contient ?
sequences_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq#4;[The doctor lifts up the newspaper (idle).]
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_3;Un rubis a été volé à Londres. Un des deux  ''Yeux légendaires du Sphinx''.
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_4;Le deuxième bijou, une émeraude, est dans un coffre dans une banque suisse, si je me souviens bien.
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_5;Les deux joyaux étaient censés être exposés ensemble au Caire pour la première fois depuis 50 ans.
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_6;Ça ne fait qu'une merveille ...
sequences_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq#9;[The doctor lowers the paper again.]
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_7_direction;thoughtfully
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_7;C'est vrai !...
texts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_title;Cambriolage de Londres
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_1;Des nouvelles au sujet du vol à Londres ?
sequences_arzt_top_a01_arzt_was_neues_zum_raub_tseq#1;[Ohi points at the newspaper.]
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_2;Pas grand chose, n'est-ce pas?
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_3;Ce doit être des professionnels. La façon dont ils ont désactivés un des meilleurs systèmes de sécurité du monde... C'est impressionnant.
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_4_direction;slightly reproachfully
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_4;Des gens ont été blessées !
sequences_arzt_top_a01_arzt_was_neues_zum_raub_tseq#5;[Doctor makes a smudge off of his hand.]
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_5;Eh bien. On ne peut pas faire un casse de cette envergure sans... dommages collatéraux.
