loca_key_foo;Value is Bar
hint_quest04_slot03;Seine Pistole kann ich ihm nicht zurückgeben, aber vielleicht lässt er sich auf andere Weise aufheitern.
text_quest04_slot04_content;Matt hat am Bahnsteig gesehen, wie der Geiger etwas aufgehoben und eingesteckt hat…
text_quest04_slot05_content;Der Geiger behauptet, nichts von der Geldbörse zu wissen. Wenn ich doch nur einen Blick in seinen Geigenkoffer werfen könnte…
hint_quest04_slot05;Vielleicht kann ich ihn irgendwie ablenken, so dass er seinen Geigenkoffer für eine Weile unbeaufsichtigt lässt.
text_quest05_slot01_titel;Transportwagen abkoppeln 
text_quest05_slot01_content;Ich muss den Transportwagen abkoppeln, bevor der Rauch im Tunnel uns erstickt.
text_quest05_slot02_content;Der Koppelmechanismus ist im Dunkeln nicht zu erkennen. Ich brauche mehr Licht!
text_quest05_slot03_content;Streichhölzer reichen nicht aus, also brauche ich eine bessere Lichtquelle.
hint_quest05_slot03;Vielleicht kann ich mir irgendwie eine Fackel bauen.
text_quest05_slot04_content;Die Fackel brennt nur schwach und geht bei kleinster Bewegung aus. Ich muss die Flamme irgendwie verstärken.
hint_quest05_slot04;Gibt es hier vielleicht irgendwo Wachs, Öl oder etwas in der Art?
text_quest06_slot01_titel;Mit Matt reden
text_quest06_slot01_content;Ich habe Matt gefunden, aber er hat ziemliche Angst. Ich muss ihn irgendwie beruhigen.
hint_quest06_slot01;Wenn Matt das Gefühl hat, sich verteidigen zu können, wird er vielleicht ruhiger.
text_quest06_slot02_titel;Lok abkoppeln
text_quest06_slot02_content;Die Lok wird nicht von alleine bremsen und ich komme wegen dem Feuer nicht ins Führerhaus.
text_quest06_slot03_content;Die Tür ist zu heiß um sie mit bloßer Hand zu berühren. Ich muss etwas finden, dass mich vor der Hitze schützt.
text_quest06_slot04_content;Der Rauch und die Funken sind zu stark. Ich muss mein Gesicht schützen.
text_quest07_slot01_titel;Aufs Schiff kommen
text_quest07_slot01_content;Legrand will mich nicht auf das Schiff lassen. Ich muss einen Weg finden trotzdem mitzufahren.
hint_quest07_slot01;Ich sollte mich am Pier genau umschauen.
text_quest07_slot02_content;Die verdächtige Kiste, die ich beim Verladen gesehen habe, muss irgendwo im Lagerraum sein. Ist der Rabe darin an Bord gekommen?
text_quest08_slot01_titel;Befreien
text_quest08_slot01_content;Wer hat mich niedergeschlagen und gefesselt? Viel wichtiger noch: Wie kann ich mich befreien?
hint_quest08_slot01;Ich bin zwar gefesselt, kann aber trotzdem einige Dinge in der Umgebung erreichen.
text_quest08_slot02_content;Jemand hat anscheinend auf eine Kiste geschossen. Ich vermute, dass das Projektil noch im Holz steckt, doch mit bloßen Fingern kann ich es nicht herausholen.
text_quest08_slot03_content;Ich bekomme die Tür mit bloßen Händen nicht auf. Vielleicht brauche ich ein Hilfsmittel.
text_quest08_slot04_content;Das Schiff hat während meiner Ohnmacht abgelegt, also bin ich jetzt offizieller Passagier.
text_quest08_slot05_titel;Rabenjagd
text_quest08_slot05_content;Eine schwarzgekleidete Gestalt wurde auf den Dächern gesichtet. Sind wir dem Raben auf der Spur?
hint_quest08_slot05;Ich sollte mich auf der Backbordseite umschauen.
text_quest09_slot01_titel;Wer ist der Mörder?
text_quest09_slot01_content;Es wurde noch kein Verdächtiger im Mordfall der Baronin gefunden. Ich schaue mal, ob ich von den anderen Passagieren hilfreiche Informationen bekommen kann.
text_quest09_slot02_content;Ich sollte nach Indizien suchen, die uns weiterhelfen können.
hint_quest09_slot02;Vielleicht hat der Schuss, den ich im Laderaum gehört habe, mit dem Mord zu tun.
text_quest09_slot03_content;Legrand hat mir erlaubt, die Kabine der Baronin zu durchsuchen.
hint_quest09_slot03;Ich sollte die Kabine gründlich nach Spuren durchsuchen.
text_quest09_slot04_content;Es könnte außer den Federn noch etwas in der Vase stecken, aber meine Hand ist nicht schmal genug, um hineinzugreifen.
text_quest09_slot05_content;Der Blutfleck auf der Matratze sieht seltsam aus.
hint_quest09_slot05;Wenn ich eine Probe von dem Blutfleck nehme, könnte man sie untersuchen.
text_quest09_slot06_content;Konstabler Oliver will mich nicht zum blinden Passagier im Lagerraum vorlassen. Ich muss ihn irgendwie ablenken.
hint01_quest09_slot06;Vielleicht können ihn körperliche Bedürfnisse von seinem Platz locken.
hint02_quest09_slot06;Matt kennt sich mit Streichen besser aus als ich.
text_quest09_slot07_content;Ich könnte die Indizien in Legrands Kabine auf eigene Faust untersuchen.
hint01_quest09_slot07;Stammen die Projektile aus dem Frachtraum und der Kabine der Baronin aus derselben Waffe?
hint02_quest09_slot07;Warum sieht das Blut auf dem Bett der Baronin so seltsam aus?
text_quest09_slot08_content;Die Spur führt zur Krankenstation.
text_quest10_slot01_titel;Suche nach Beweisen
text_quest10_slot01_content;Vielleicht finde ich in der Krankenstation weitere Spuren, die mir weiterhelfen.
text_quest10_slot02_content;Dr. Gebhardt hat mich gefesselt und will mich umbringen. Ich muss schnell handeln!
hint_quest10_slot02;Vielleicht hilft es, wenn ich Zeit schinde.
text_quest11_slot01_titel;Umsehen
text_quest11_slot01_content;Solange der Tresor noch nicht eingetroffen ist, sollte ich die Zeit nutzen und mich umschauen.
text_quest11_slot02_titel;Schatzkammer betreten
text_quest11_slot02_content;Das Tor der Schatzkammer ist zu. Ich muss einen Weg finden es zu öffnen.
text_quest11_slot03_content;Die Mechanik vom Tor klemmt. Ich muss einen Weg finden, es wenigstens einen Spalt weit zu öffnen.
text_quest11_slot04_content;Eine Stange reicht nicht, um das Tor aufzuhebeln.
hint_quest11_slot04;Vielleicht gibt es hier noch irgendwo eine zweite Stange.
text_quest12_slot01_titel;Keller Betreten
text_quest12_slot01_content;Die Vitrine mit dem Auge ist bei der Explosion in ein Loch gestürzt. Ich muss irgendwie da runter kommen und nachschauen ob der Stein noch da ist.
text_quest12_slot02_titel;Geheimtür öffnen
text_quest12_slot02_content;Ich muss herausfinden was hinter der Geheimtür ist, bevor die Polizei eintrifft und die Tore wieder öffnet.
text_quest12_slot03_content;Was bedeutet der Satz an der Geheimtür?
hint_quest03_slot03;Vielleicht kann mir der Museumsdirektor den Satz übersetzen.
text_quest12_slot04_content;„Die Söhne des Horus“. Mensch, Pavian, Schakal und Falke. 
hint_quest12_slot04;Im Museum finde ich sicher mehr Hinweise zu den Söhnen des Horus.
text_quest13_slot01_titel;Steige in den Zug
text_quest13_slot01_content;Ich muss irgendwie in den Zug kommen. Aber einfach reinmarschieren geht nicht.
text_quest14_slot02_titel;Transportwagen untersuchen
text_quest13_slot02_content;Es darf niemand bemerken wie ich in den Zug steige. 
hint_quest13_slot02;Solange der Polizist mit dem Arzt redet, komme ich nicht ungesehen in den Zug.
text_quest14_slot01_titel;Abteil verlassen
text_quest14_slot01_content;Ich muss ungesehen aus dem Abteil kommen, aber die Leute vor der Tür machen diesen Weg schon mal unmöglich.
text_quest14_slot02_content;Die Sicht in den Transportwagen ist versperrt. Irgendwie muss ich mir Einblick verschaffen.
hint_quest14_slot02;Ein Spiegel könnte Abhilfe schaffen.
text_quest14_slot03_titel;Dachluke öffnen
text_quest14_slot03_content;Die Dachluke des Transportwagens ist verschraubt. Ich benötige Werkzeug um sie zu öffnen.
text_quest14_slot04_content;Die herunterfallende Schraubenmutter hätte mich fast verraten. Ich muss verhindern, dass so etwas noch einmal passiert.
hint_quest14_slot04;Vielleicht kann ich die zweite Mutter irgendwie festhalten, damit sie nach dem Abschrauben nicht runterfällt.
text_quest15_slot01_titel;Aus der Kiste befreien
text_quest15_slot01_content;Der Deckel der Kiste lässt sich nicht öffnen. Ich muss hier irgendwie rauskommen.
text_quest15_slot02_content;Mehr als einen Arm kann ich nicht durch den Spalt des Deckels stecken, aber vielleicht erreiche ich ja etwas Brauchbares.
text_quest15_slot03_content;Ich habe den Gurt durchschnitten, aber die Kiste steht immer noch im Regal.
hint_quest15_slot03;Wenn das Regal sich schon nicht bewegen lässt, kann ich vielleicht wenigstens die Kiste bewegen.
text_quest15_slot04_content;Der Gurt ist nicht am Regal hängengeblieben, sondern hat nur Gegenstände umgeworfen.
text_quest15_slot05_content;Vielleicht kann ich irgendwie an das Rohr herankommen.
hint_quest15_slot05;Ich könnte danach angeln.
text_quest15_slot06_content;Ich habe das Rohr, sitze aber immer noch in der Kiste fest.
text_quest16_slot01_titel;Kabine der Baronin betreten
text_quest16_slot01_content;Ich muss in die Kabine der Baronin gelangen und ihr Geheimversteck öffnen.
text_quest16_slot02_content;Über die Tür kann ich mir keinen Zugang verschaffen. Das Risiko entdeckt zu werden ist zu groß.
text_quest16_slot03_content;Der Lüftungsschacht wäre eine Möglichkeit, aber er ist verschraubt.
hint_quest16_slot03;Vielleicht finde ich in unserer Kabine Werkzeug.
text_quest16_slot04_content;Der Penny lässt sich per Hand nicht fest genug drehen. Ich brauche mehr Hebelwirkung.
text_quest16_slot05_content;Solange ich keine Möglichkeit habe ohne Spuren zu hinterlassen wieder herauf zu klettern, lasse ich mich nicht in die Kabine hinab.
hint_quest16_slot05;Ich brauche etwas, um mich abzuseilen.
text_quest16_slot06_content;Irgendwo in der Kabine muss das Geheimversteck sein. Nur wo?
text_quest16_slot07content;Adil hatte Recht. Um das Geheimversteck zu öffnen muss ich eine Kombination eingeben.
text_quest16_slot08_content;Vielleicht kann ich vom Allgemeinwissen der anderen Passagiere profitieren.
hint01_quest16_slot08;Jeder Hinweis kann mich eventuell im Gespräch mit einer anderen Person weiterbringen.
hint02_quest16_slot08;Adil kann mir vielleicht auch weiterhelfen.
text_quest17_slot01_titel;Zelle verlassen 
text_quest17_slot01_content;Es darf keine weiteren Opfer geben. Ich muss aus diesem Käfig rauskommen und Wachtmeister Zellner warnen.
hint_quest17_slot01;Vielleicht erreiche ich außerhalb vom Käfig etwas, das mir weiterhilft.
text_quest17_slot02_content;Beide Türen des Frachtraums sind verschlossen. Es muss noch einen anderen Weg hier raus geben.
text_quest17_slot03_content;Mit der Hand bekomme ich das Lüftungsgitter nicht auf. Vielleicht kann ich es irgendwie raushebeln.
hint_quest17_slot03;Der Kran könnte mir weiterhelfen, aber direkt am Gitter kann ich ihn nicht befestigen.
text_quest18_slot01_titel;Finde Dr. Gebhardt
text_quest18_slot01_content;Wo ist Dr. Gebhardt? Ich muss ihn finden!
text_quest19_slot01_titel;Museum betreten 
text_quest19_slot01_content;Ich muss irgendwie ins Museum gelangen, um an den versteckten Grundriss der Schatzkammer zu kommen.
text_quest19_slot02_content;Der Wachmann lässt mich nicht ins Museum. Ich muss ihn überzeugen, dass mir der Zutritt erlaubt ist.
hint_quest19_slot02;Ein Teil des Museums scheint renoviert zu werden. Vielleicht kann ich mich als Handwerker ausgeben.
text_quest19_slot03_content;Mist, der Name auf den gestohlenen Klamotten steht nicht auf der Liste der Handwerker.
text_quest19_slot04_content;Übers Dach komme ich momentan nicht rein. Vielleicht finde ich einen Hinweis, wenn ich den Grundriss habe.
text_quest19_slot05_content;Auf dem Grundriss ist eine Notiz neben dem Dach vermerkt. Vielleicht komme ich so ins Museum.
hint01_quest19_slot05;Auf dem Grundriss befindet sich dasselbe Symbol wie auf dem Schornstein. Vielleicht haben die Zahlen daneben auch etwas mit dem Schornstein zu tun.
hint02_quest19_slot05;In der arabischen Welt liest man von rechts nach links.
text_quest20_slot01_titel;Licht im Keller
text_quest20_slot01_content;Im Dunkeln kann ich im Keller nicht viel sehen. Ich muss irgendwie für Licht sorgen.
text_quest20_slot02_content;Lichtschalter, Kabel, Lampenfassung… alles vorbereitet. Nur der Rost auf dem Kontakt der Birne steht zwischen mir und einem hellen Keller.
hint_quest20_slot02;Mangels Schmirgelpapier muss ich eine andere rauhe Oberfläche zum abschmirgeln des Rosts finden.
text_quest20_slot03_content;Ich muss das Fenster öffnen, aber sobald die elektronischen Kontakte sich nicht mehr berühren wird der Alarm ausgelöst.
hint_quest20_slot03;Vielleicht lässt sich der Kontakt irgendwie überbrücken?
text_quest20_slot04_content;Ich bin in der Schatzkammer, aber zwischen mir und dem Auge ist immer noch das Sicherheitsglas der Vitrine.
hint_quest20_slot04;Vielleicht lässt sich die Scheibe mit einem Hilfsmittel zerstören.
index_note_start_01;Rückkehr des Raben
a00_common_01_diary;Dies ist das persönliche Notizbuch von Wachtmeister Anton Jakob Zellner. Sollten Sie dieses Buch finden, schicken Sie es bitte an die Polizeidirektion Zürich Mitte.
a00_common_02_museum;23.09.1963 \n Aus dem Britischen Museum in London wurde ein wertvoller Rubin gestohlen. Eines der beiden legendären „Augen der Sphinx“. Die Presse ist außer sich. Sie beschuldigt den „neuen Raben“ das Ansehen des alten Raben zu beschmutzen, weil es bei dessen Einbrüchen nie Verletzte gab.
a00_common_03_task;24.9.1963 \n Ich habe es getan! Ich bin aufgestanden und habe dem Hauptmann geradeheraus ins Gesicht gesagt, dass ICH den Auftrag haben will. Er war zu überrascht um zu widersprechen. Inspektor Nicolas Legrand bei uns in der Schweiz! Das kann ich mir nicht entgehen lassen. Was er wohl hier will? 
a00_common_04_newspaper_a;London Post, 11.9.1963 \n Legrand jagt den „Erben des Raben“! \n Nach Informationen unserer Zeitung hat Nicolas Legrand (33), französischer Sonderermittler bei Interpol, die Ermittlungen im Fall „Erbe des Raben“ übernommen. Legrand gilt in Polizeikreisen als hartnäckiger Ermittler und geschickter Spürhund. Talente, die er erstmalig vor fünf Jahren unter Beweis stellte, als der junge Polizist völlig überraschend Europas meistgesuchten Einbrecher, den Raben, stellen konnte. Bei der Verhaftung kam es zu einem Schusswechsel, bei dem der für seine genialen Einbrüche in der Bevölkerung bewunderte Einbrecher den Tod fand. \n 
a00_common_04_newspaper_b;Seit einigen Monaten treibt ein Trittbrettfahrer sein Unwesen, der zwar ebenfalls Rabenfedern an den Tatorten hinterlässt, ansonsten aber bei seinen Einbrüchen die Raffinesse des alten Raben vermissen lässt. Bei den letzten drei Einbrüchen wurden insgesamt fünf Personen verletzt, einer davon schwer. \n Scotland Yard, Interpol und Inspektor Legrand waren für ein Statement nicht zu erreichen.
index_note_inspektor_01;Inspektor Nicolas Legrand
a00_inspektor_dialog_01;Legrand sieht anders aus als auf den Fotos. Älter, abgekämpfter. Er ist immer noch ein erfolgreicher Spürhund. Aber es gibt Gerüchte, dass seine Methoden in den letzten Jahren… rücksichtsloser… geworden sind.
a05_inspektor_note_inWater_01;Er will den Raben unbedingt fassen. Er setzt dafür seine Karriere aufs Spiel. Er könnte den Rest seines Lebens von seinem Ruhm zehren. Aber das will er nicht. Er will sich beweisen. Ein wahrhaft respekteinflößender Gegner für den Raben.
a05_inspektor_raven_back_01;Legrand hält es für möglich, damals in Paris den falschen Mann erschossen zu haben! Er glaubt, der alte Rabe könne noch leben und zurückgekehrt sein!
a07_inspektor_writer_ta_inspektor_01;Lady Westmacott sagt, Legrand hätte etwas Getriebenes in seinen Augen. Mir ist das auch schon aufgefallen. Er macht bei der Jagd nach dem Raben nicht einfach seinen Job. Es ist mehr…
a07_inspektor_drugs_01;Ich habe Legrand dabei erwischt, wie er sich etwas gespritzt hat. Vermutlich ein Aufputschmittel oder etwas in der Art. Das könnte seine Stimmungsschwankungen zum Teil erklären.
a10_inspektor_a10_start_01;Legrand scheint davon überzeugt zu sein, dass Doktor Gebhardt der Rabe – der alte Rabe – war. Irgendetwas stimmt da nicht. Legrand hat sich zu einfach überzeugen lassen…
a11_inspektor_not_ambassy_01;Legrand hat gesagt, er gehe zur französischen Botschaft. Aber Konstabler Oliver sagt, dass das nicht der Fall ist. Einer von beiden lügt… aber warum?
index_note_legrands_trap_01;Legrands Falle
a00_legrands_trap_talkto_01;Legrand scheint dem neuen Raben eine Falle stellen zu wollen. Ich sollte mehr darüber in Erfahrung bringen…
a01_legrands_trap_wagon_01;Inspektor Legrand und Konstabler Robert Oliver von Scotland Yard bewachen einen Tresor im Transportwagen. Ob der Rabe sich davon anlocken lässt? Und wenn ja… können die beiden ihn stellen? Ich habe da so meine Zweifel.
a02_legrands_trap_bomb_01;Eine Bombe! Im Tresor war eine Bombe! \n Er hätte uns alle in die Luft gejagt. Verfluchter Verbrecher! \n Legrand macht sich Vorwürfe, dass er die Geldkassette nicht überprüft hat. Aber ich denke nicht, dass er Grund dazu hatte. Der Rabe muss die Bombe in der Kassette platziert haben, bevor sie in der Bank in den Tresor gelegt wurde – eine erstaunliche Leistung! Und der Umschlag… wie hat er den Umschlag auf dem Tresor platzieren können, obwohl drei Leute in der Nähe standen? \n Das Ziel des Anschlags ist jedenfalls klar. Der Rabe wollte Legrand aus dem Weg räumen, um sich irgendwann später ungestört das zweite Auge holen zu können. Aber er hat das Gegenteil erreicht. Legrand wird nicht aufgeben, das sieht man ihm an. Und auch ich habe nun einen weiteren Grund, diesen Verbrecher zur Strecke zu bringen!
a05_legrands_trap_terrorist_01;Konstabler Oliver hat mich beschuldigt, den Umschlag platziert zu haben. Er sagt, nur er, Inspektor Legrand und ich wären anwesend gewesen… und da ist ja durchaus was dran…
index_note_fiddler_01;Der Geiger
index_note_fiddler_02;Der Geiger (David Kreutzer)
a01_fiddler_whoishe_01;Im Großraumwagon des Zuges sitzt ein Mann mit einem Geigenkoffer. \n Er behauptet Solo-Geiger zu sein. Er macht einen etwas… angeschlagenen Eindruck. Seine Hand zittert. \n Er ist auf den Weg nach Venedig. Von dort soll es mit dem Schiff nach Kairo gehen, wo er ein Konzert im Ägyptischen Museum gibt.
a01_fiddler_wallet_01;Er hat eine Gelegenheit genutzt und eine verlorene Brieftasche eingesteckt. Er scheint Geldprobleme und eine zweifelhafte Moral zu haben. Eine gefährliche Kombination.
a01_fiddler_writer_ta_fiddler_01;Lady Westmacott hält Herrn Kreutzer für jemanden, der anderen Leuten auf der Tasche liegt.
a07_fiddler_pistol_01;Herr Kreutzer hat sich gestern Abend angeblich betrunken und kann sich an nichts mehr erinnern. Die Mordwaffe gehört ihm. Eine Luger 08. Ist er tatsächlich ein hemmungsloser Säufer? Oder ist das nur ein Ablenkungsmanöver? Vielleicht will ihm auch jemand etwas anhängen. Das würde erklären, warum die Luger nicht im Meer entsorgt wurde. Sie lenkt den Verdacht auf den Geiger.
index_note_indy_01;Professor Edgar Lucien
a01_indy_first_talk_01;Ich habe Professor Lucien vom Britischen Museum in London kennengelernt. Er behauptet, vom Einbruch ins Museum kaum etwas mitbekommen zu haben. Ich glaube ihm nicht. Er macht einen nervösen Eindruck.
a01_indy_baroness_ta_indy_01;Baronin von Trebitz hat gesagt, Professor Lucien sei Ägyptologe und als Bereichsleiter unterstand das gestohlene Auge der Sphinx seiner Obhut. Mir gegenüber hat er das nicht erwähnt. Mehr noch, er hat gelogen. Was verbirgt er?
a07_indy_forecastle_01;Professor Lucien scheint etwas für Miss Miller übrig zu haben. Auch seine nervliche Verfassung schien besser geworden zu sein… zumindest bis ich ihm klar machte, dass es vermutlich immer noch einen Dieb und einen Mörder an Bord gibt. Daraufhin hat er sich überraschend in seine Kabine verabschiedet.
a10_indy_eye_01;Der Professor hat das Auge der Sphinx in London an sich gebracht und es versteckt. Er befürchtete, es sei im Tresor nicht sicher. Mutig, aber auch dumm. Wäre ihm jemand auf die Schliche gekommen, wäre es ein Leichtes gewesen, ihm den Stein zu entwenden. \n Immerhin erklärt diese Aktion, warum der Professor im Zug und auf dem Schiff so nervös war. Und von der Liste der Verdächtigen kann ich ihn wohl auch streichen. Er hätte alle Zeit der Welt gehabt, den Stein zu stehlen.
index_note_closed_door_01;Die verschlossene Kabinentür
a01_closed_door_01;Die Tür zu Professor Luciens Kabine wurde verschlossen. Von außen? Von innen? Und von wem?
a01_closed_door_open_window_01;Ich glaube, die Tür wurde von innen verschlossen und derjenige, der sie verschlossen hat, ist aus dem Fenster entkommen. Wenn ich damit Recht habe, sind tatsächlich Diebe oder dergleichen hier im Zug.
a01_closed_door_button_01;Ich habe in der Kabine einen Knopf gefunden. Könnte ein Hinweis sein. Vielleicht aber auch nicht.
index_note_butler_01;Butler James
a01_butler_first_talk_01;Die Baronin von Trebitz und ihr Butler belegen eine der großen Luxuskabinen im Zug. Meiner Einschätzung nach ist allerdings keine Kabine der Welt groß genug, um sie mit der Baronin teilen zu wollen. Butler James muss eine Engelsgeduld haben.
a01_butler_wound_01;Butler James hat am rechten Arm eine Verletzung davongetragen. Er sagt, es sei ein Andenken an den Krieg. Wie es scheint, ist der Arm nicht ganz taub. Aber es sieht aus, als könne er ihn nur eingeschränkt bewegen. Er macht das Beste daraus. 
a07_butler_staircase_talk_01;Butler James macht sich Sorgen um seine berufliche Karriere, wenn der Mörder nicht gefasst wird. Ihm scheint der Tod der Baronin nicht sehr nahe zu gehen. Vermutlich, weil er erst seit einigen Monaten bei ihr war.
index_note_missing_wallet_01;Verschwundene Brieftasche
a01_missing_wallet_first_01;Eine verschwundene Brieftasche… nicht gerade der Fall des Jahrhunderts. Und ich kann mir auch nicht vorstellen, dass der Rabe damit zu tun hat. Und dennoch… ich bin Polizist und sollte mich bemühen, die Brieftasche zu finden.
a01_missing_wallet_found_01;Ich vermute, die Baronin hat die Brieftasche verloren und Herr Kreutzer, der Geiger, hat sie gefunden und eingesteckt. Und damit hat er sich strafbar gemacht.
a01_missing_wallet_checked_01;Ich konnte nicht widerstehen und habe einen Blick in die Brieftasche geworfen. Ich hätte das nicht tun sollen. Nicht nur, dass es sich für einen Mann des Staates nicht gehört, in anderer Leute Brieftaschen herum zu schnüffeln, es hat noch nicht einmal neue Erkenntnisse gebracht. 
index_note_baroness_01;Baronin von Trebitz
a01_baroness_first_01;Die Baronin scheint es gewohnt zu sein, im Mittelpunkt zu stehen. Eine anstrengende Person, wie mir scheint. Aber auch eine Philanthropin. Sie reist durch die halbe Welt und unterstützt Museen und Galerien. Sie bezahlt die Ausstellung, in der die Augen der Sphinx erstmalig seit Jahrzehnten gemeinsam in Kairo ausgestellt werden sollten.
a07_baroness_dead_01;Baronin von Trebitz wurde ermordet. Schrecklich. Die erste Leiche, die ich von Nahem gesehen habe. Sie lag in einer Lache ihres eigenen Blutes auf ihrem Bett. Obwohl ich mich zu dem Zeitpunkt schon kaum mehr auf den Beinen halten konnte – dieses Bild werde ich nicht vergessen.
a07_baroness_butler_talk_01;Die Baronin war Alkoholikerin und zuckerkrank. Dennoch ging sie nie zum Arzt. Vermutlich hatte sie eine Aversion gegen die Halbgötter in Weiß. Sie war unordentlich und hat das Chaos mit den Fotos in ihrer Kabine nach Aussage des Butlers selber veranstaltet.
a07_baroness_diary_01;Die Baronin hatte einen schweren Verlust zu beklagen. In ihrem Tagebuch berichtet sie von Albträumen und sie trägt viele Fotos mit sich herum. Ich vermute, dass Familienmitglieder von ihr während des Krieges getötet wurden.
a07_baroness_why_01;Ich kenne das Motiv des Doktors nicht. Aber ich vermute, dass es in der Vergangenheit der beiden liegt.
index_note_writer_01;Lady Clarissa Westmacott
a01_writer_first_talk_01;Wie ich sie verehre! Für mich ist sie die größte Schriftstellerin des Jahrhunderts! Die Erfolgreichste ist sie allemal. \n Eine Schande, dass sie mit dem Schreiben aufgehört hat. Bisher ist davon nichts an die Öffentlichkeit gelangt. Es wird einen Aufschrei unter ihren Fans überall auf der Welt geben! \n Die erfolgreichsten Kriminalromane der Clarissa Westmacott: \n Kleine Indianer \n Der Tod auf der Schiene \n Mord in Ägypten \n Unter einem vollen Mond \n Das schwächste Glied in der Kette \n Das Pfarrhaus im Spiegel \n Vier Frauen in Paddington \n Maurice Partouts Ostern\n „Kleine Indianer“ hat sich über 100 Millionen Mal verkauft und gilt damit als erfolgreichster Kriminalroman aller Zeiten.
a07_writer_ta_boy_01;Lady Westmacott kümmert sich sehr um Miss Miller und vor allem um Matt. Sie weiß auch überraschend viel über deren Geschichte. Ich kann mir nicht vorstellen, dass sie bei allen ihren Angestellten solch ein Interesse an den Tag legt!
a10_writer_ta_boy_02;Lady Westmacott ist die Großmutter von Matt! Sie hat einen Sohn, von dem sie sich entfremdete. Er heiratete eine junge Amerikanerin und zog mit ihr in die USA, wo sie einen Sohn bekamen. \n Das erklärt, warum Lady Westmacott so an Matt interessiert ist. Vielleicht will sie einiges gut machen, das sie bei ihrem eigenen Sohn falsch gemacht hat.
index_note_caretaker_boy_01;Miss Mary Miller und Matt Miller
a01_caretaker_boy_woodpistol_01;Miss Miller wurde mir als „Gesellschafterin“ von Lady Westmacott vorgestellt. Ich denke, sie ist in Wahrheit eine Art Pflegerin. Sie macht auf mich einen angespannten Eindruck. Sie scheint nervös und unausgeglichen. Vielleicht hat es mit Matt, ihrem Jungen zu tun? \n Ich mag Matt. Er ist ein aufgeweckter und lebhafter Junge. Aber seine Mutter scheint mit ihm manchmal überfordert zu sein.
a01_caretaker_boy_father_01;Miss Miller und Matts Vater scheinen sich getrennt zu haben. Es scheint, als gebe der Junge ihr dafür die Schuld. Lady Westmacott scheint Matt sehr zu mögen. Sie bezahlt ihm eine gute Ausbildung.
a03_caretaker_boy_why_train_01;Der dumme Junge konnte sich nicht beherrschen und ist in den Zug geschlichen, um seine Holzpistole zu holen. Das war gefährlich und mutig und abenteuerlustig… Ich will ihm böse sein, doch ich kann es nicht.
a07_caretaker_boy_romance_01;Es scheint sich eine Romanze zwischen Miss Miller und Professor Lucien zu entwickeln… und Matt scheint das nicht zu gefallen. Vielleicht will er seine Mutter nicht teilen – oder er will sie beschützen.
a10_caretaker_boy_romance_02;Professor Lucien wird Miss Miller auf der Nilkreuzfahrt begleiten. Man kann sich nie sicher sein – aber ich glaube, die beiden haben eine Chance.
a10_caretaker_boy_romance_03;Die Romanze zwischen Miss Miller und Professor Lucien ist beendet, bevor sie richtig begonnen hat. Wer weiß, vielleicht ist es besser so.
index_note_doctor_01;Doktor Gebhardt
a01_doctor_first_talk_01;Ich habe mit Doktor Gebhardt schon in Zürich gesprochen. Er ist ein deutscher Arzt, der seine letzten Berufsjahre in Italien verbringen will. Er ist mir nicht wirklich sympathisch. Er ist höflich und zuvorkommend. Aber ich nehme ihm seine Freundlichkeit nicht ab. Etwas stimmt mit ihm nicht.
