characters_araber;Araber_verkleidet
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_11;A...
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_12;And, if so... Would it still happen to be there?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_13;Then all would be as it should.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_14;That's what we hope, at least.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_15;All the same, it would have been a simple matter for a thief to take an impression of it, right Professor?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_16_direction;is aware of the consequences
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_16;Oh...
texts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_title;Say goodbye
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_1;He he. Very droll.
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_2;I don't want to take up any more of your valuable time.
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_5;But you do understand, don't you, that what concerns me is the present, and especially the robbery at the museum?
spokentexts_a01_archaeologe_top_a01_archaeologe_herrlicher_zug_tseq_st_6;Of course, of course! It's just... I'm in rather a hurry.
texts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_title;Valuables
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_1;So, what are you hiding in your bag? What do you have that would be worth stealing?
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_2;You seem to have something in your bag that would be worth stealing.
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_3;No! Nothing!
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_4;No valuables?
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_5;Certainly not! Not on my salary!
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_6;It was enough for a first-class compartment on a luxury train...
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_7_direction;do not know what to say
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_7;That's... my business.
spokentexts_a01_archaeologe_top_a01_archaeologe_irgendwelche_wertgegenstaende_tseq_st_10;You're playing a dangerous game, Professor Lucien.
texts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_title;Head of the Egyptian Department
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_1;And the break-in? It wasn't an issue for you? Even though you're the head of the department where it occurred?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_2;You're head of the Egyptian Department of the British Museum.
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_3;And you want to tell me that the burglary didn't matter to you?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_4_direction;gives up
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_4;All right.
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_5;The burglary was most upsetting. And shocking... And I didn't know what to do, OK?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_6;And you couldn't just tell me that?
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_7;The fewer people who know about it, the better.
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_8_direction;half to himself
spokentexts_a01_archaeologe_top_a01_archaeologe_leiter_der_aegyptischen_abteilung_tseq_st_8;I can't trust anyone.
texts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_title;Cairo
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_1;You're not only going to Venice, are you?
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_2;Could it be that your journey will continue? All the way to Egypt, perhaps?
sequences_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq#2;[The archaeologist nods.]
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_3;I'm on your side!
spokentexts_a01_archaeologe_top_a01_archaeologe_reise_nach_aegypten_tseq_st_4;But the more you lie to me, the more difficult you make my job.
texts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_title;Seen anything suspicious?
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_1;Just one more thing...
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_2;Did you notice anything unusual on the train?
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_3_direction;nervously
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_3;Here? On the train?
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_4;No. I can't say that I have.
spokentexts_a01_archaeologe_top_a01_archaeologe_verdaechtiges_beobachtet_tseq_st_5;Although I did spend most of the time in my compartment.
texts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_title;Lost purse
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_1;Do you by chance know anything about a purse that's gone missing?
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_2;You think there's a thief on the train?
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_3;Two, I suspect. One of whom isn't after purses.
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_4_direction;intimidated
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_4;Oh.
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_5_direction;confused
spokentexts_a01_archaeologe_top_a01_archaeologe_verschwundene_brieftasche_tseq_st_5;Well, I don't know anything about a missing purse.
texts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_title;Locked door
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_1;Do you have any idea why the door was locked?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_2_direction;evasive
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_2;I don't know.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_3;Maybe... the constant vibrations caused the lock to lock itself?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_4;You can't possibly believe that.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_5_direction;slightly annoyed
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_5;Then what's your theory?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_6;The conductor could have locked it from the outside.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_7;On the other hand, it could have been someone here in the compartment who locked the door from the inside.
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_8;Who? And where have they gone?
sequences_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq#8;[Ohi points to the window.]
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_9;They could have climbed out there.
sequences_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq#10;[The archaeologist looks incredulously at the window.]
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_10;Who would be that insane?
spokentexts_a01_archaeologe_top_a01_archaeologe_warum_war_tuer_verschlossen_tseq_st_11;You tell me, Professor.
texts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_title;Destination of his trip
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_2;May I ask where are you going?
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_3;Of course. To Venice.
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_4;I'm... going to meet some colleagues there.
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_5;Oh, Venice!
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_6;A beautiful city or so I'm told.
spokentexts_a01_archaeologe_top_a01_archaeologe_wohin_faehrt_er_tseq_st_7;Indeed. But I really have to take my leave now.
texts_archaeologe_top_a01_archaeologe_nichts_tseq_title;Oh, nothing
spokentexts_archaeologe_top_a01_archaeologe_nichts_tseq_st_1;Oh, nothing.
spokentexts_archaeologe_top_a01_archaeologe_nichts_tseq_st_2_direction;irritated
spokentexts_archaeologe_top_a01_archaeologe_nichts_tseq_st_2;Well... Good!
sequences_archaeologe_top_a01_archaeologe_nichts_tseq#2;[The archaeologist returns to its read-idle.]
sequences_archaeologe_top_a01_archaeologe_nichts_tseq#3;[The conversation is over.]
texts_archaeologe_top_a01_archaeologe_umsehen_tseq_title;Look around
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_1;I'd like to have a look around the compartment.
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_2;Oh... err. Of course.
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_3;I'd like to look around a bit.
spokentexts_archaeologe_top_a01_archaeologe_umsehen_tseq_st_4;Of course.
sequences_archaeologe_top_a01_archaeologe_umsehen_tseq#7;[The player takes control.]
spokentexts_archaeologe_ex_1_st_1;He doesn't make a very balanced impression.
spokentexts_archaeologe_ex_1_st_2;And he of all people isn't bothered by a robbery in his own museum?
spokentexts_archaeologe_ex_2_st_1;He's hiding something from me and I have to find out what it is!
spokentexts_archaeologe_talk_mit_03_st_1;I didn't find the conductor but I should be able to open the door for you with these pliers.
spokentexts_archaeologe_talk_mit_03_st_2_direction;impatient, slightly pleading
spokentexts_archaeologe_talk_mit_03_st_2;Then go right ahead...!
spokentexts_archaeologe_talk_mit_1_st_1;Professor Lucien?
sequences_archaeologe_talk_mit_1#2;[The professor looks at Ohi.]
spokentexts_archaeologe_talk_mit_1_st_2_direction;rushed, expectantly
spokentexts_archaeologe_talk_mit_1_st_2;Yes?
spokentexts_archaeologe_talk_mit_1_st_3_direction;rushed, expectantly
spokentexts_archaeologe_talk_mit_1_st_3;Do you have the key?
spokentexts_archaeologe_talk_mit_1_st_4;Actually, I wanted...
spokentexts_archaeologe_talk_mit_1_st_5;Please - I have to go back to my compartment!
sequences_archaeologe_talk_mit_1#8;[The professor looks back to the door and knocks once with the fist on it.]
spokentexts_archaeologe_talk_mit_2_st_1;First I'd better see about getting the door open and then have another talk with the professor.
spokentexts_archaeologe_talk_mit_2_st_2;It doesn't seem like I'll get anything out of him as long as the door is still locked.
spokentexts_archaeologe_talk_mit_4_st_1;Professor Lucien?
sequences_archaeologe_talk_mit_4#2;[The professor looks up, puts himself in talk position.]
spokentexts_archaeologe_talk_mit_4_st_2;Yes?
sequences_archaeologe_talk_mit_4#4;[Dialogue between Ohi and archaeologists starts.]
texts_arzt_mo_ex_1;Examine Dr. Gebhardt
texts_arzt_mo_talk_mit_1-3;Talk to Dr. Gebhardt
texts_arzt_top_a01_arzt_auf_wiedersehen_tseq_title;Say good-bye
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_3;As you like.
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_4;Auf Wiedersehen, Doctor Gebhardt!
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_5;Goodbye, Constable. It was a pleasant chat, really.
sequences_arzt_top_a01_arzt_auf_wiedersehen_tseq#7;[The doctor picks up the newspaper, begins to read again.]
texts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_title;Anything suspicious?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_1;Tell me, did you notice anything suspicious here on the train or in Zurich?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_2;You mean except for the fact that my suitcase was stolen on the platform?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_3;No.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_4;Is there any reason to be concerned?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_5;No. Just routine.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_6_direction;senior teacher like
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_6;Constable Zellner.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_7;Please don't think I'm naive. I spotted the inspector from Interpol.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_8;Legard is his name, if I recall correctly.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_9;Legrand.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_10;If you say so.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_11;At the train station in Zurich he put a cash box into the safe and then kept close watch as it was loaded onto the train.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_12;Don't tell me that a man at his pay grade routinely tramps across the Alps just to keep an eye on cash boxes.
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_13;A cash box? Like the ones you'd find in safe deposit boxes?
spokentexts_arzt_top_a01_arzt_ist_ihm_etwas_aufgefallen_tseq_st_14;Precisely. And I believe we both have a good idea just what's inside.
texts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_title;Missing purse
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_1;I meant to ask...
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_2;The baroness is missing her purse...
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_3;A baroness?
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_4;"This train is really full of the crème de la crème. The ""Queen of Crime"" is over there, and now a baroness as well!"
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_5;Have you seen the purse?
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_6;Unfortunately, no.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_7;Do you know Lady Westmacott? You were talking to her.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_8;Well, I'm an admirer of her work.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_9;Like so many others. I once read in the newspaper that only Shakespeare and the Bible sell more copies than her crime novels.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_10;I've read that, too.
spokentexts_arzt_top_a01_arzt_verschwundene_brieftasche_tseq_st_11;She must be filthy rich. As a doctor, I'd have to work a thousand years to earn that kind of money!
texts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_title;Gloves
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_1;You're wearing gloves?
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_2;I've been wondering why you're wearing gloves.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_3;Are your hands really so sensitive? Or are you cold?
sequences_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq#5;[The doctor raises one of his hands, looks at it.]
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_4;Oh, well. It's an old habit.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_5;As a doctor, one is so conscious of all the pathogens, bacteria and viruses that surround us.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_6;Though of course, perhaps I do tend to be a bit TOO cautious.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_7_direction;slightly sneaky
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_7;I know exactly what you mean.
spokentexts_arzt_top_a01_arzt_warum_traegt_er_handschuhe_tseq_st_8;As a policeman, I sense subterfuge and lies everywhere.
texts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_title;Cash box
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_1_direction;unsure
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_1;I do indeed have a theory... but... what's yours?
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_2;The cash box in the safe... What do you think it contains?
sequences_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq#4;[The doctor lifts up the newspaper (idle).]
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_3;A ruby was stolen in London. One of the legendary ''Eyes of the Sphinx''.
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_4;The second jewel, an emerald, is rumored to be in a Swiss bank vault, if I remember correctly.
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_5;Both jewels were supposed to be exhibited together in Cairo for the first time in 50 years.
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_6;It does make one wonder...
sequences_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq#9;[The doctor lowers the paper again.]
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_7_direction;thoughtfully
spokentexts_arzt_top_a01_arzt_was_befindet_sich_in_der_kassette_tseq_st_7;Indeed...
texts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_title;Robbery in London
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_1;Any news about the robbery in London?
sequences_arzt_top_a01_arzt_was_neues_zum_raub_tseq#1;[Ohi points at the newspaper.]
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_2;Quite something, wasn't it?
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_3;It must have been professionals. The way they disabled one of best security systems in the world... Most impressive.
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_4_direction;slightly reproachfully
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_4;People were injured!
sequences_arzt_top_a01_arzt_was_neues_zum_raub_tseq#5;[Doctor makes a smudge off of his hand.]
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_5;Well. One cannot execute a robbery of that scale without... collateral damage.
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_6;It seems like the Raven has finally found a worthy successor. We can look forward to new and spectacular coups!
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_7;I'm afraid I won't enjoy his exploits this time around if the new Raven is so reckless.
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_8_direction;(bored, slightly snapped)
spokentexts_arzt_top_a01_arzt_was_neues_zum_raub_tseq_st_8;That's your prerogative.
texts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_title;Conductor
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_1;There's something else...
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_2;Do you know where the conductor is?
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_3;I'd like to know that myself!
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_4;I told him to search for my missing suitcase in Zurich. He hasn't got back to me yet.
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_7_direction;is getting more in
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_7;He's probably in cahoots with the thieves and didn't bother getting back on the train.
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_8_direction;is getting more in
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_8;If we don't crack down on vermin like them, the rabble will rule the world one day!
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_9_direction;soothingly
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_9;Well... At the moment, we still don't know what really happened.
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_10_direction;bossy
spokentexts_arzt_top_a01_arzt_wo_ist_der_schaffner_tseq_st_10;He's not here doing his job. That's bad enough.
texts_arzt_top_a01_arzt_zeitung_tseq_title;Newspaper
spokentexts_arzt_top_a01_arzt_zeitung_tseq_st_1;May I borrow your newspaper?
spokentexts_arzt_top_a01_arzt_zeitung_tseq_st_2;Your newspaper caught my eye.
spokentexts_arzt_top_a01_arzt_zeitung_tseq_st_3;May I borrow it for a second?
spokentexts_arzt_top_a01_arzt_zeitung_tseq_st_4;You can take the section with the article on the burglary.
