characters_ermittler;Ermittler
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_3;Vous dites que vous ne voulez PAS faire fuir les voleurs potentiels ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_4_direction;surprising, got the clue
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_4;Vous tendez un piège !
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_5_direction;flirts
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_5;Cela expliquerait pourquoi il n'y a que moi et pas l'armée, N'est-ce pas ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_6;De toute manière, je ne peux pas commenter vos spéculations.
texts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_title;Qu'est-ce qui se passe ici ?
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_1;Mais Monsieur! Votre voyage dans ce train est très inhabituel.
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_2;Est-il lié à l'effraction au British Museum ?
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_3_direction;wiegelt ab
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_3;Pas le moins du monde.
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_4;Et ce coffre ? C'est pour quoi ?
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_5;Je vous ferai savoir si nous avons besoin de votre aide, gendarme ?
texts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_title;Je tiens à vous aider !
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_1_direction;irritated, outraged easily
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_1;Mais Monsieur !
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_2;Je peux sûrement vous être utile à quelque chose ! J'ai vu un coffre-fort d'être chargés...
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_3;Nous avons tout sous contrôle.
texts_junge_top_a00_junge_einbruch_london_tseq_title;Cambriolage à Londres
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_1;Tu sais de nos jours il y a des voleurs bien plus dangereux que votre vieux Corbeau ?
sequences_junge_top_a00_junge_einbruch_london_tseq#1;[Ohi calls the boy during he's looking around. The boy took a step to Ohi to (listen-on idle boys, whisper-idle from Ohi).]
sequences_junge_top_a00_junge_einbruch_london_tseq#2;[The camera cuts closer.]
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_2_direction;tells vivid and exciting
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_2;Il y a deux jours un précieux rubis a été volé au British Museum.
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_3_direction;tells vivid and exciting
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_3;Il y a eu une explosion ! Un garde a été gravement blessé.
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_4_direction;tense, breathless
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_4;Vraiment ?
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_5_direction;tells vivid and exciting
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_5;Ja. Et sais-tu ce que disent les journaux ?
texts_junge_top_a00_junge_geh_weg_tseq_title;Il devrait partir
spokentexts_junge_top_a00_junge_geh_weg_tseq_st_1;Déranger un officier suisse pendant qu'il lit un roman policier est une infraction très grave !
spokentexts_junge_top_a00_junge_geh_weg_tseq_st_2;Je pourrais t'arrêter.
spokentexts_junge_top_a00_junge_geh_weg_tseq_st_3;Mais j'ai un pistolet et pas vous !
texts_junge_top_a00_junge_wer_bist_du_tseq_title;Qui est-ce ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_1;Le monde est-il si dangereux que j'ai besoin d'un pistolet ? Et qui pourrait l'être, toi ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_2;Quel est ton nom, mon garçon ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_3;Mon nom est Matthew Miller !
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_4;Et d'où viens-tu, Matthew Miller ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_5;De Dillsburg en Pennsylvanie.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_6;Mais ma mère et moi vivons en Angleterre maintenant. Elle prend soin d'une riche vieille dame.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_7;Nous sommes sur le chemin de Venise pour le moment. Nous allons faire une croisière sur un grand bateau !
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_8;Impressionnant ! Tu as déjà vu la moitié du monde.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_9;J'ai passé toute ma vie en Suisse.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_10;Ça doit être vraiment ennuyeux.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_11_direction;affirmative
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_11;Oui.
texts_junge_top_a00_junge_wozu_die_pistole_tseq_title;Faux pistolet
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_1;Et pourquoi as-tu besoin d'une arme ?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_2;Et pourquoi cette arme ? Pour quoi en as-tu besoin ?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_3;Pourquoi tu as besoin d'une arme ?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_4;C'est à cause du Corbeau ! Il a été abattu. Alors j'ai besoin d'un pistolet !
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_5;Les oiseaux morts n'ont pas besoin d'arme... Pas même ceux vivant.
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_6_direction;outraged
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_6;Vous ne savez pas qui est le Corbeau ?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_7;C'est le plus grand cambrioleur du monde ! Il a volé des peintures au Louvre. Des oeufs en or et diamant et plein d'autres trucs.
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_8;Et Bobby Dobbs dit qu'il aurait remplacé les joyaux de la couronne par des fausses pierres !
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_9;Je sais qui était ce Corbeau.
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_10;Même si... J'adhère peu à ces histoires à propos des joyaux de la couronne.
texts_start;En apprendre plus sur les contrôles du jeu (Tutoriel)?
texts_start_option_no;Non, je suis un cador.
texts_start_option_yes;Oui, dites m'en plus.
texts_step_01;Pour examiner un objet, cliquez-gauche dessus. Cliquez sur le papier du sandwich sur la table.
texts_step_02;Si vous déplacez le curseur de la souris sur le papier du sandwich encore une fois, vous verrez que le curseur a changé et que le texte en bas de l'écran dit ''Prendre le papier du sandwich''. Cliquez dessus une fois de plus pour le prendre.
texts_step_03;Très bien. Déplacez le curseur en bas de l'écran. Cela fait apparaitre votre inventaire. Vous y trouverez tout les objets que le Gendarme Zellner transporte. Cliquez-gauche sur le papier du sandwich.
texts_step_04;Maintenant vous pouvez utiliser le papier du sandwich avec un autre objet. Déplacez-le sur le trognon de pomme sur la table et faites un clic-gauche.
texts_step_05;Ouvrez l'inventaire à nouveau et faites un clic droit sur le papier du sandwich.
texts_step_06;Bien sûr, vous pouvez aussi utiliser les objets de l'inventaire entre eux. Cliquez-gauche sur la serviette en papier puis sur le papier du sandwich dans l'inventaire.
texts_step_07;Débarrassons-nous de tout ça. Jetez ces détritus dans votre inventaire dans le cendrier sur la table de Zellner.
texts_step_08;Ce n'était pas trop dur, n'est-ce pas ? Maintenant vous savez tout ce que vous devez savoir sur les contrôles. Bon jeu !
texts_step_01_controller;Pour examiner un objet déplacez-vous à côté de lui avec le stick gauche, utilisez le stick droit pour le sélectionner et appuyez sur $primary. Sélectionnez le papier du sandwich sur la table.
texts_step_02_controller;Si vous sélectionnez le papier du sandwich encore une fois, vous verrez que le symbole affiché a changé et le texte en bas de l'écran indique ''Prendre le papier du sandwich''. Appuyez sur $primary pour le prendre.
texts_step_03_controller;Très bien. Maintenant cliquez sur $inventory. Cela fait apparaitre l'inventaire, dans lequel se trouve tout vos objets. Utilisez le stick gauche pour sélectionner le papier du sandwich et appuyez sur $primary, de sorte qu'il s'affiche dans le coin supérieur gauche de l'écran.
texts_step_04_controller;Maintenant, vous pouvez utiliser le papier du sandwich avec d'autres éléments. Sélectionnez le trognon de pomme sur la table et appuyez sur $primary.
texts_step_05_controller;Ouvrez à nouveau l'inventaire, sélectionnez le papier du sandwich et appuyez sur $secondary pour l'examiner.
texts_step_06_controller;Bien sûr, vous pouvez également utiliser les éléments à l'intérieur de l'inventaire entre eux. Sélectionnez la serviette en papier avec $primary , et sélectionnez le papier du sandwich dans l'inventaire avec $primary.
texts_tutorial_apfelreste_mo_beteachten_1;Examiner le trognon de pomme
texts_tutorial_apfelreste_mo_used_mit_apfelreste;Enroulez le trognon de pomme dans le papier du sandwich
spokentexts_tutorial_apfelreste_ex_1_st_1;J'étais tellement excité ce matin que je ne pouvais pas manger quoi que ce soit. Inutile de dire qu'à la seconde où je suis monté dans le train, je mourais de faim.
spokentexts_tutorial_apfelreste_ex_1_st_2;Heureusement, j'avais apporté une pomme.
texts_tutorial_butterbrotpapier_mo_ex_1;Examiner le papier du sandwich
texts_tutorial_butterbrotpapier_mo_inventar;Papier de sandwich
texts_tutorial_butterbrotpapier_mo_inventar_2;Papier de sandwich avec un trognon de pomme
texts_tutorial_butterbrotpapier_mo_take_1;Prendre le papier du sandwich
texts_tutorial_muell_mo_inventar;Détritus
texts_tutorial_muelleimer_mo_ex_1;Regarder la cendrier
texts_tutorial_muelleimer_mo_used_mit_muell;Jeter les détritus dans le cendrier
spokentexts_tutorial_muelleimer_ex_1_st_1;Chaque tables a son propre cendrier, pratique. Pas besoin de se lever de son siège.
texts_tutorial_serviette_mo_inventar;Serviette en papier
texts_tutorial_serviette_mo_used_mit_apfelreste;Assembler les détritus
spokentexts_tutorial_seq_step_8_st_1;Très bien.
spokentexts_tutorial_seq_step_1_st_1;Ce matin, je pensais pas que j'aurais faim à cause de toute cette excitation. Heureusement, j'avais apporté un sandwich avec moi au cas où.
sequences_tutorial_seq_step_2#0;[Ohi takes the sandwich paper, crumpled it and put it in his pocket.]
sequences_tutorial_seq_step_4#0;[Ohi pulls out the paper, fold it in an easy and puts the apple in the paper. Then he crumples it up and puts it back]
spokentexts_tutorial_seq_step_5_st_1;J'ai enveloppé le trognon de pomme dans le papier du sandwich. De cette façon, je peux le porter sans ravager ma poche de pantalon.
spokentexts_tutorial_seq_step_5_st_2;Je préférerais ne pas avoir à les transporter toute la journée.
spokentexts_tutorial_seq_step_6_st_1;La serviette était avec un croissant que j'ai acheté à la gare. Un plaisir coupable. J'en ai plus besoin.
sequences_tutorial_seq_step_6#1;"[Ohi takes out the napkin and the greaseproof paper and crumples the two together. He stops with the garbage in his hand. In the inventory the greaseproof paper with the apple and the rest napkin combined into a new object called ""garbage"".]"
sequences_tutorial_seq_step_7#0;[Ohi throws the garbage in the garbage can.]
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#0;[Öhi is interrupted at the most exciting point.]
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_1_direction;throat
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_1;*hum*
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#2;[Scene: cut out, you can now see all three.]
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#3;[The boy is scared and goes a quick step to the side, stands beside Ohi (idle). Ohi looks up, startled, then turns back as soon as possible and assumes position during talks investigators (idle).]
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_2;Vous parlez trop, officier...
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_3_direction;eagerly
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_3;Zellner, Monsieur. Anton Jakob Zellner.
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#6;[The inspector looks at the boy.]
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_4;Ou... Vous a-t-il pointé un arme sur vous ?
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_5_direction;embarrassed
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_5;Non, Monsieur.
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_6_direction;at the Boy
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_6;Retourne à ta place.
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#11;[Boy goes offended towards Lok, climb one of the chairs. Idle: boy sits on the chair and looking out the window].
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_7_direction;as learned by heart
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_7;Inspecteur Legrand ! C'est un grand honneur de travailler avec une célébrité comme vous !
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_10_direction;formal
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_10;Nous apprécions le soutien de la police Suisse.
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_11_direction;Je ne sais pas quoi faire de lui
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_11;Mais... Ce serait mieux si vous pouviez... rester assis et... garder un oeil ouvert.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_1;Votre sens de la déduction laisse a désirer. Je pense que ça ira très bien sans votre aide.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_2;Et bien... C'est impressionnant, j'avoue. Mais moins il y a de personnes impliqués, mieux c'est. Ça ira très bien sans votre aide.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_3_direction;determined
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_3;Vous ne pouvez pas !
sequences_grossraumwagon_seq_grossraumwagon_fragespiel_beendet#5;[The investigators have started to turn away, then looks back confused.]
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_4;Je ne peux pas ? Pardonnez-moi ?
sequences_grossraumwagon_seq_grossraumwagon_fragespiel_beendet#7;[Öhi takes courage all together.]
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_5_direction;trying to sound brave and determined
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_5;Je peux aider et je veux aider !
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_6_direction;trying to sound brave and determined:
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_6;Vous êtes dans mon pays et j'ai ordre de vous aider.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_7_direction;trying to sound brave and determined
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_7;Et c'est exactement ce que je vais faire peut importe que cela vous plaise ou non !
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_10;Pas brillant, mais tenace.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_16;Hmm. Intelligent et tenace.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_11;Votre engagement en dit long, Zellner.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_12;Mais c'est mon affaire et je n'ai pas besoin de vous. Bon voyage ! 
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_13_direction;wants to protest
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_13;Mais... Comment pouvez-vous le savoir ?
sequences_grossraumwagon_seq_grossraumwagon_fragespiel_beendet#21;[The investigators nods to Ohi, then walks away. Ohi has stood the whole time, holding his breath, and now he lets the air out and relax.]
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_15_direction;exhales disappointed
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_15;Fffff.
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#0;"[Scene: We see a paperback that Ohi holds relatively close to his face (because it's so exciting), in close-up. This is the book ""The vicarage in the mirror"" from ""Clarissa Westmacott"".]"
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#1;[Idle as Ohi tightly with the book in his face sits and reads.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_1;Haut les mains !
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#3;[Ohi irritated takes the book down a bit and look at the boy. He lowers not only up to the chest and remains seated otherwise. He wants to not really be bothered and would rather read on. Idle as he sits there.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#4;[Scene: The camera is initially on Ohis face in close-up. Then a cut and you can see that Ohi is in a police uniform and a little boy in front of him with a wooden gun stands]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#5;[Idle from boy as he aims his gun at Ohi.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#6;"[Ohi breathes lightly annoyed and, while he looks further at the boy. When he is thinking, ""Is that really necessary?"" Then he looks to the left and right, whether guardians are seen, which can take the boy. Nobody there. Back in the idle.]"
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_2;Je n'est pas le temps pour jouer. Je suis en service.
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#8;[Ohi his book raises again and continues reading. Back in the Read-Idle. The boy lowers the gun disappointed.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#9;[The boy puts Ohi tongue out.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_3_direction;Sticking tongue out
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_3;Bmmmm.
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#11;[Scene: Cut to a close-up Ohi (Book).]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#12;[Ohi has heard that lowers the book a little bit and look at the boy sharply over the edge of book.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#13;[Scene: Cut to the boy in close-up.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#14;[The boy quickly pulls the tongue and does not guilty.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#15;[Director: Cut back on Ohi.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#16;[Ohi still looks strictly over the book edge. Then he lets the book fall fast forward a little, so you can see his mouth. He sticks his tongue out to the boy and makes a grimace. He quickly hides again behind his book.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#17;[Scene: Cut back. both can be seen.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_4_direction;Surprised, Pleased laugh
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_4;Ha ha !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_5;Vous êtes marrant !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_6_direction;slightly reproachfully
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_6;Mais... Vous ne ressemblez pas à un vrai policier. Vous n'avez même pas de revolver !
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#21;"[Ohi lowers the book, puts it on his desk and goes into the ""talk with the boy"" Idle.]"
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_1;Si vous voulez bien m'excuser, je serai dans le premier wagon de marchandises à l'arrière du train pour le reste du voyage.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#1;[The investigator turns around and takes a few steps.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_3;Je ne suis pas ici pour profiter de la beauté des paysages !
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#3;[The investigator stops, turns around but not yet.]
