loca_key_foo;Value is Bar
menu_back_tooltip;Zurück zum Menü
menu_settings_save_tooltip;Speichere Spieleinstellungen
menu_start_tooltip;Starte eine neue Kapitel
menu_resume_tooltip; Schließt das Menü, führt zurück zum Spiel.
menu_save_tooltip; Hier kannst du deinen Spielfortschritt speichern.
menu_savegame_newgame;Neuer Spielstand
menu_savegame_autosave;Autosave
menu_savegame_abschnitt_00;Ein Zug in den Alpen
menu_savegame_abschnitt_01;Ein Zug in den Alpen
menu_savegame_abschnitt_02;In Stein gefangen
menu_savegame_abschnitt_03;Feuer, Dampf und Stahl
menu_savegame_abschnitt_05;Ah, Venedig!
menu_savegame_abschnitt_06;Eine verdächtige Truhe
menu_savegame_abschnitt_07;Mord auf hoher See
menu_savegame_abschnitt_08;Wahnsinn
menu_savegame_abschnitt_09;Das Geständnis des Raben
menu_savegame_abschnitt_10;Das Auge der Sphinx
menu_savegame_abschnitt_11;In die Dunkelheit
menu_savegame_abschnitt_12;Zürich, Hauptbahnhof
menu_savegame_abschnitt_13;Der Eisenbahnraub
menu_savegame_abschnitt_14;Der blinde Passagier
menu_savegame_abschnitt_15;Der blinde Passagier
menu_savegame_abschnitt_16;Eine Diebin und ein Mord
menu_savegame_abschnitt_17;Die Zeit drängt
menu_savegame_abschnitt_18;Geister der Vergangenheit
menu_savegame_abschnitt_19;Ein einfacher Plan
menu_savegame_abschnitt_20;Eine böse Überraschung
menu_savegame_abschnitt_21;Ein Plan funktioniert
menu_savegame_abschnitt_22;Die Rückkehr des Raben
menu_savegame_abschnitt_23;Die Rückkehr des Raben
menu_savegame_abschnitt_25;Die Rückkehr des Raben
menu_mainmenu_tooltip; Beende die laufende Partie und öffne das Hauptmenü.
menu_episode_end_continue;Weiter
menu_episode_end_continue_tooltip;Setze das Spiel fort.
edgemenu_menu_tooltip;Öffne das Ingame-Menü.
edgemenu_notebook_tooltip;Öffne das Notizbuch.
edgemenu_hotspot_tooltip;Lasse dir alle aktuellen Hotspots anzeigen. Du bezahlst dafür Adventurepunkte.
notebook_page;Seite
notebook_category;Kategorie
notebook_hint;Hinweis
notebook_next_page;vorblättern
notebook_prev_page;zurückblättern
unlock_photo;Neue Bilder freigeschaltet
unlock_music;Neue Musik freigeschaltet
unlock_movie;Neues Video freigeschaltet
messagebox_ok;OK
message_resolution_changed;Möchtest du die gewählte Auflösung beibehalten?
episode_end_stats_secrets;Geheimnisse gelöst:
episode_end_stats_achievements;Erfolge errungen:
episode_end_stats_help;Rätselhilfe genutzt:
episode_end_stats_hotspot;Hotspot-Hilfe genutzt:
episode_end_stats_sum;Adventure-Punkte
todo_get_award_key;"Meisterleistung"
episode_end_achievement_label;Erfolge:
loading_tip;Tipp:
loading_tip_1;Du solltest dir immer alle Gegenstände ansehen.
loading_tip_2;Einige Gegenstände musst du mehrfach betrachten um alle ihre Geheimnisse zu erfahren.
loading_tip_3;Klicke einen Gegenstand im Inventar mit rechts an um ihn zu betrachten.
loading_tip_4;Drücke die Leertaste um dir alle Gegenstände in der Szene anzeigen zu lassen.
loading_tip_5;Sprich mit allen Charakteren, wenn du mal nicht weiter kommst.
loading_tip_6;Im Tagebuch kannst du dir Tipps geben lassen, wenn du feststeckst.
loading_tip_7;Mach mal eine Pause, wenn du einfach nicht mehr vorankommst!
loading_tip_3_controller;Um einen Gegenstand im Inventar zu betrachten, selektieren Sie ihn und drücken sie $secondary.
loading_tip_4_controller;Drücken Sie $space um sich alle Gegenstände in der Szene anzeigen zu lassen.
infoscreen_start_1;Du bist Anton Jakob Zellner, ein Schweizer Polizist, der in eine Sache hineingezogen wurde,\ndie eigentlich zu groß für ihn ist. Vor drei Tagen wurde ein Edelstein, eines der beiden\nlegendären „Augen der Sphinx“, in London gestohlen. Das zweite Auge befindet sich auf dem\nWeg von Zürich nach Kairo.
infoscreen_start_2;Im Zug in den Schweizer Alpen kam es zu einem Zwischenfall. Der Rabe, ein international\ngesuchter Meisterdieb, legte eine Bombe und nur durch beherztes Eingreifen von\nWachtmeister Zellner konnte Schlimmeres verhindert werden. Nun befindet sich das\nAuge auf einem Schiff im Mittelmeer.
infoscreen_start_3;Zellner, durch seine Heldentat im Zug motiviert, will den Edelstein nach Kairo begleiten.\nDoch Nicolas Legrand, ein französischer Ermittler, der die Jagd nach dem Raben anführt,\nwill Zellner nicht dabei haben. Zellner sieht sich im Schiff um und wird von einem\nSchatten niedergeschlagen...
infoscreen_end_1;Das war die PR-Demo zu "The Raven - Das Vermächtnis des Meisterdiebs"!
infoscreen_end_2;Die Demo umfasst ca. 20% des gesamten Spiels. Wir hoffen, sie hat dir Spaß gemacht!
menu_saving;Speichern ...
error_savegame_save_memory;Das Spiel konnte nicht gespeichert werden. Es ist nicht genug freier Speicher vorhanden.
error_savegame_save_other;Das Spiel konnte nicht gespeichert werden.
error_config_save_memory;Deine Spieleinstellungen konnten nicht gespeichert werden. Es ist nicht genug freier Speicher vorhanden.
error_config_save_other;Deine Spieleinstellungen konnten nicht gespeichert werden.
error_savegame_load_corrupted;Das Savegame ist beschädigt und kann nicht geladen werden.
error_savegame_load_other;Das Savegame kann nicht geladen werden.
error_config_load_corrupted;Deine Spieleinstellungen sind beschädigt und konnten nicht geladen werden. Deine Einstellungen und Freischaltungen wurden zurückgesetzt.
error_config_load_other;Deine Spieleinstellungen konnten nicht geladen werden. Deine Einstellungen und Freischaltungen wurden zurückgesetzt.
achievements;Erfolge
achievements_tooltip;Hier kannst du deine Erfolge betrachten.
menu_unlock;Vollständiges Spiel freischalten
menu_unlock_tooltip;Hier kannst du das vollständige Spiel freischalten.
menu_download;Inhalt herunterladen
menu_download_tooltip;Hier kannst du weitere Kapitel herunterladen.
info_live;Du musst bei Xbox LIVE angemeldet sein um dieses Feature verwenden zu können.
info_login;Es ist kein Profil angemeldet. Um 'The Raven' spielen zu können, musst du mit einem Profil angemeldet sein.
action_login;Jetzt einloggen
action_quit;Spiel verlassen
info_storage;Es ist kein Speichermedium ausgewählt oder das ausgewählte Speichermedium wurde entfernt. Bitte wähle ein Speichermedium aus, um deinen Spielfortschritt zu speichern.
action_select;Jetzt auswählen
action_continue;Ohne fortfahren
info_storage_2;Es ist nicht möglich, deinen Spielfortschritt zu speichern, wenn du ohne ein Speichermedium fortfährst. Bist du sicher?
action_continue_2;Ja, Fortfahren
info_episode_lost;Das Speichermedium mit den Spielinhalten wurde entfernt.
action_ok;Okay
startscreen_message;Drücke START
episode_end_award_1;Einfach perfekt!
episode_end_award_2;Meisterhaft!
episode_end_award_3;Hervorragend!
episode_end_award_4;Sehr gut!
episode_end_award_5;Gute Leistung!
episode_end_award_6;In Ordnung!
config_title;Spieleinstellungen & Freischaltungen
info_episode_removed;Es wurde ein Speichermedium mit Spielinhalten entfernt.
info_episode_damaged;Das von dir gewählte Kapitel ist defekt. Bitte lade sie erneut herunter.
steam_init_error;Die Verbindung zu Steam konnte nicht hergestellt werden. Achievments und Cloud Storage von Speicherständen stehen deshalb nicht zur Verfügung. Trotzdem fortfahren?
steam_choice_continue;Fortfahren
steam_choice_quit;Spiel verlassen
mg_junge_direction_controller;Drücke den $primary, um das Spiel zu starten.
