characters_ermittler;Ermittler
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_3;Vous dites que vous ne voulez PAS faire fuir les voleurs potentiels ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_4_direction;surprising, got the clue
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_4;Vous tendez un piège !
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_5_direction;flirts
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_5;Cela expliquerait pourquoi il n'y a que moi et pas l'armée, N'est-ce pas ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_6;De toute manière, je ne peux pas commenter vos spéculations.
texts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_title;Qu'est-ce qui se passe ici ?
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_1;Mais Monsieur! Votre voyage dans ce train est très inhabituel.
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_2;Est-il lié à l'effraction au British Museum ?
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_3_direction;wiegelt ab
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_3;Pas le moins du monde.
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_4;Et ce coffre ? C'est pour quoi ?
spokentexts_ermittler_top_a00_ermittler_kennenlernen_wer_ist_los_tseq_st_5;Je vous ferai savoir si nous avons besoin de votre aide, gendarme ?
texts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_title;Je tiens à vous aider !
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_1_direction;irritated, outraged easily
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_1;Mais Monsieur !
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_2;Je peux sûrement vous être utile à quelque chose ! J'ai vu un coffre-fort d'être chargés...
spokentexts_ermittler_top_a00_ermittler_kennenlernen_will_helfen_tseq_st_3;Nous avons tout sous contrôle.
texts_junge_top_a00_junge_einbruch_london_tseq_title;Cambriolage à Londres
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_1;Vous ne savez de nos jours il y a des voleurs bien plus dangereux que votre vieux Corbeau ?
sequences_junge_top_a00_junge_einbruch_london_tseq#1;[Ohi calls the boy during he's looking around. The boy took a step to Ohi to (listen-on idle boys, whisper-idle from Ohi).]
sequences_junge_top_a00_junge_einbruch_london_tseq#2;[The camera cuts closer.]
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_2_direction;tells vivid and exciting
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_2;Il y a deux jours un précieux rubis a été volé au British Museum.
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_3_direction;tells vivid and exciting
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_3;Il y a eu une explosion ! Un garde a été gravement blessé.
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_4_direction;tense, breathless
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_4;Vraiment ?
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_5_direction;tells vivid and exciting
spokentexts_junge_top_a00_junge_einbruch_london_tseq_st_5;Ja. Et savez-vous ce que disent les journaux?
texts_junge_top_a00_junge_geh_weg_tseq_title;Il devrait partir
spokentexts_junge_top_a00_junge_geh_weg_tseq_st_1;Déranger un officier suisse pendant qu'il lit un roman policier est une infraction très grave !
spokentexts_junge_top_a00_junge_geh_weg_tseq_st_2;Je pourrais t'arrêter.
spokentexts_junge_top_a00_junge_geh_weg_tseq_st_3;Mais j'ai un pistolet et pas vous !
texts_junge_top_a00_junge_wer_bist_du_tseq_title;Qui est-ce ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_1;Le monde est-il si dangereux que j'ai besoin d'un pistolet ? Et qui pourrait l'être, toi ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_2;Quel est ton nom, mon garçon ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_3;Mon nom est Matthew Miller !
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_4;Et d'où viens-tu, Matthew Miller ?
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_5;De Dillsburg en Pennsylvania.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_6;Mais ma mère et moi vivons en Angleterre maintenant. Elle prend soin d'une riche vieille dame.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_7;Nous sommes sur le chemin de Venise pour le moment. Nous allons faire une croisière sur un grand bateau !
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_8;Impressionnant ! Tu as déjà vu la moitié du monde.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_9;J'ai passé toute ma vie en Suisse.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_10;Ça doit être vraiment ennuyeux.
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_11_direction;affirmative
spokentexts_junge_top_a00_junge_wer_bist_du_tseq_st_11;Oui.
texts_junge_top_a00_junge_wozu_die_pistole_tseq_title;Faux pistolet
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_1;And why do you need a gun?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_2;And what's with the gun? What do you need it for?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_3;Why do you need the gun?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_4;It's the Raven! He was gunned down. So now I need a pistol!
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_5;Dead birds don't need guns... Nor do live ones.
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_6_direction;outraged
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_6;You don't know who the Raven is, do you?
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_7;He's the greatest burglar ever! He stole paintings from the Louvre. And those priceless eggs with the gold and diamonds and stuff.
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_8;And Bobby Dobbs says he replaced the crown jewels with rhinestones!
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_9;I know who the Raven was.
spokentexts_junge_top_a00_junge_wozu_die_pistole_tseq_st_10;Although... I don't quite buy that bit about the crown jewels.
texts_start;Do you want to learn about the game controls (Tutorial)?
texts_start_option_no;No, I'm good.
texts_start_option_yes;Yes, tell me more.
texts_step_01;To examine an item, just click on it. Click on the sandwich paper on the table.
texts_step_02;If you move the mouse over the sandwich paper again, you'll see that the cursor's shape has changed and the text at the bottom of the screen says ''Take the sandwich paper''. Click again to pick it up.
texts_step_03;Very good. Move the cursor to the bottom of the screen. That's where the inventory is. In it you can see all the items that Constable Zellner is carrying. Left-click on the sandwich paper.
texts_step_04;Now you can use the sandwich paper with other objects. Move it over the apple core on the table and left-click.
texts_step_05;Open the inventory again and right-click on the sandwich paper.
texts_step_06;Of course, you can also use the items inside the inventory with each another. Left-click on the paper napkin and then click on the sandwich paper in the inventory.
texts_step_07;Let's get rid of it. Dump the litter from your inventory into the ashtray on Zellner's table.
texts_step_08;That wasn't too hard, was it? And now you know everything you need to know about the game's controls. Have fun!
texts_step_01_controller;To examine an item move next to it with the left stick, use the right stick to select it and press $primary. Select the sandwich paper on the table.
texts_step_02_controller;If you select the sandwich paper again, you'll see that the symbol displayed has changed and the text at the bottom of the screen says ''Take the sandwich paper''. Press $primary to pick it up.
texts_step_03_controller;Very good. Now press $inventory. This opens the inventory, in which you can see all the items that Constable Zellner is carrying. Use the left stick to select the sandwich paper and press $primary, so that it is displayed in the top left corner of the screen.
texts_step_04_controller;Now you can use the sandwich paper with other items. Select the apple core on the table and press $primary.
texts_step_05_controller;Open the inventory again, select the sandwich paper and press $secondary to examine it.
texts_step_06_controller;Of course, you can also use the items inside the inventory with each other. Select the paper napkin with $primary and then select the sandwich paper in the inventory with $primary.
texts_tutorial_apfelreste_mo_beteachten_1;Examine the apple core
texts_tutorial_apfelreste_mo_used_mit_apfelreste;Wrap the apple core in the sandwich paper
spokentexts_tutorial_apfelreste_ex_1_st_1;I was so excited this morning that I couldn't eat anything. Needless to say, the second I got on the train I was famished.
spokentexts_tutorial_apfelreste_ex_1_st_2;Fortunately, I'd brought an apple.
texts_tutorial_butterbrotpapier_mo_ex_1;Examine the sandwich paper
texts_tutorial_butterbrotpapier_mo_inventar;Sandwich paper
texts_tutorial_butterbrotpapier_mo_inventar_2;Sandwich paper with apple core
texts_tutorial_butterbrotpapier_mo_take_1;Take the sandwich paper
texts_tutorial_muell_mo_inventar;Litter
texts_tutorial_muelleimer_mo_ex_1;Look at the waste basket
texts_tutorial_muelleimer_mo_used_mit_muell;Throw the litter into the ashtray
spokentexts_tutorial_muelleimer_ex_1_st_1;Every table has its own waste basket, practical. No need to ever leave your seat.
texts_tutorial_serviette_mo_inventar;Paper napkin
texts_tutorial_serviette_mo_used_mit_apfelreste;Combine litter
spokentexts_tutorial_seq_step_8_st_1;Alright.
spokentexts_tutorial_seq_step_1_st_1;This morning I thought I wouldn't be hungry because of all the excitement.  Thankfully I brought a sandwich with me anyway.
sequences_tutorial_seq_step_2#0;[Ohi takes the sandwich paper, crumpled it and put it in his pocket.]
sequences_tutorial_seq_step_4#0;[Ohi pulls out the paper, fold it in an easy and puts the apple in the paper. Then he crumples it up and puts it back]
spokentexts_tutorial_seq_step_5_st_1;I wrapped the apple core in the sandwich paper. That way, I can carry it without making a mess of my trouser pocket.
spokentexts_tutorial_seq_step_5_st_2;Still, I'd prefer not to have to carry them all day.
spokentexts_tutorial_seq_step_6_st_1;The napkin came with the croissant I bought at the train station. A guilty pleasure. I don't need that either.
sequences_tutorial_seq_step_6#1;"[Ohi takes out the napkin and the greaseproof paper and crumples the two together. He stops with the garbage in his hand. In the inventory the greaseproof paper with the apple and the rest napkin combined into a new object called ""garbage"".]"
sequences_tutorial_seq_step_7#0;[Ohi throws the garbage in the garbage can.]
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#0;[Öhi is interrupted at the most exciting point.]
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_1_direction;throat
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_1;*ahem*
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#2;[Scene: cut out, you can now see all three.]
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#3;[The boy is scared and goes a quick step to the side, stands beside Ohi (idle). Ohi looks up, startled, then turns back as soon as possible and assumes position during talks investigators (idle).]
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_2;You talk too much, Constable...
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_3_direction;eagerly
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_3;Zellner, Monsieur. Anton Jakob Zellner.
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#6;[The inspector looks at the boy.]
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_4;Or... Did he pull a gun on you?
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_5_direction;embarrassed
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_5;No, Monsieur.
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_6_direction;at the Boy
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_6;Get a move on.
sequences_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler#11;[Boy goes offended towards Lok, climb one of the chairs. Idle: boy sits on the chair and looking out the window].
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_7_direction;as learned by heart
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_7;Inspector Legrand! It's a great honor to work with a celebrity like you!
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_10_direction;formal
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_10;We appreciate the support of the Swiss police.
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_11_direction;Do not know what to do with him
spokentexts_grossraumwagon_seq_grossraumwagon_einfuehrung_ermittler_st_11;But... It'd be better if you'd...remain seated and...keep an eye on things.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_1;Your deductive powers leave much to be desired. I think we'll get along fine without you.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_2;Well... That is impressive, I admit. But the fewer people involved, the better. We'll get along fine without you.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_3_direction;determined
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_3;You won't!
sequences_grossraumwagon_seq_grossraumwagon_fragespiel_beendet#5;[The investigators have started to turn away, then looks back confused.]
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_4;Won't? Pardonnez moi?
sequences_grossraumwagon_seq_grossraumwagon_fragespiel_beendet#7;[Öhi takes courage all together.]
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_5_direction;trying to sound brave and determined
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_5;I can help-and I will help!
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_6_direction;trying to sound brave and determined:
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_6;You are in my country and I've been ordered to assist you.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_7_direction;trying to sound brave and determined
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_7;And that's exactly what I'll do whether you like it or not!
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_10;Not so bright, but stubborn.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_16;Hmm. Clever and stubborn.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_11;Your commitment speaks volumes, Zellner.
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_12;But this is my show and I don't need you. Bon voyage! 
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_13_direction;wants to protest
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_13;But... How do you know?
sequences_grossraumwagon_seq_grossraumwagon_fragespiel_beendet#21;[The investigators nods to Ohi, then walks away. Ohi has stood the whole time, holding his breath, and now he lets the air out and relax.]
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_15_direction;exhales disappointed
spokentexts_grossraumwagon_seq_grossraumwagon_fragespiel_beendet_st_15;Fffff.
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#0;"[Scene: We see a paperback that Ohi holds relatively close to his face (because it's so exciting), in close-up. This is the book ""The vicarage in the mirror"" from ""Clarissa Westmacott"".]"
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#1;[Idle as Ohi tightly with the book in his face sits and reads.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_1;Haut les mains !
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#3;[Ohi irritated takes the book down a bit and look at the boy. He lowers not only up to the chest and remains seated otherwise. He wants to not really be bothered and would rather read on. Idle as he sits there.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#4;[Scene: The camera is initially on Ohis face in close-up. Then a cut and you can see that Ohi is in a police uniform and a little boy in front of him with a wooden gun stands]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#5;[Idle from boy as he aims his gun at Ohi.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#6;"[Ohi breathes lightly annoyed and, while he looks further at the boy. When he is thinking, ""Is that really necessary?"" Then he looks to the left and right, whether guardians are seen, which can take the boy. Nobody there. Back in the idle.]"
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_2;Je n'est pas le temps pour jouer. Je suis en service.
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#8;[Ohi his book raises again and continues reading. Back in the Read-Idle. The boy lowers the gun disappointed.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#9;[The boy puts Ohi tongue out.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_3_direction;Sticking tongue out
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_3;Bmmmm.
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#11;[Scene: Cut to a close-up Ohi (Book).]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#12;[Ohi has heard that lowers the book a little bit and look at the boy sharply over the edge of book.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#13;[Scene: Cut to the boy in close-up.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#14;[The boy quickly pulls the tongue and does not guilty.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#15;[Director: Cut back on Ohi.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#16;[Ohi still looks strictly over the book edge. Then he lets the book fall fast forward a little, so you can see his mouth. He sticks his tongue out to the boy and makes a grimace. He quickly hides again behind his book.]
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#17;[Scene: Cut back. both can be seen.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_4_direction;Surprised, Pleased laugh
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_4;Ha ha !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_5;Vous êtes marrant !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_6_direction;slightly reproachfully
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen_st_6;Mais... Vous ne ressemblez pas à un vrai policier. Vous n'avez même pas de revolver !
sequences_grossraumwagon_seq_grossraumwagon_oehi_lernt_jungen_kennen#21;"[Ohi lowers the book, puts it on his desk and goes into the ""talk with the boy"" Idle.]"
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_1;Si vous voulez bien m'excuser, je serai dans le premier wagon de marchandises à l'arrière du train pour le reste du voyage.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#1;[The investigator turns around and takes a few steps.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_3;Je ne suis pas ici pour profiter de la beauté des paysages !
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#3;[The investigator stops, turns around but not yet.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_7_direction;tries to quickly think of something
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_7;Je... Je suis un bon observateur ! Et j'ai un sens aiguisé de la déduction !
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#6;[The investigator turns slightly annoyed, points to the Crime Book of Ohi on table.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_8_direction;mocking
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_8;Merci pour ça ?
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#12;[Ohi goes a few steps towards the investigators, so they returned to normal conversational distance to each other.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_9_direction;eagerly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_9;J'ai observé ces gens sur le quai à Zurich !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_10_direction;eagerly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_10;Je sais par exemple, que cet homme la-bas est violoniste.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#15;[Scene: The investigator glances for violinists.]
